"id","code_insee","code_postal","ville"
1,"01001","01400","L ABERGEMENT CLEMENCIAT"
2,"01002","01640","L ABERGEMENT DE VAREY"
3,"01004","01500","AMBERIEU EN BUGEY"
4,"01005","01330","AMBERIEUX EN DOMBES"
5,"01006","01300","AMBLEON"
6,"01007","01500","AMBRONAY"
7,"01008","01500","AMBUTRIX"
8,"01009","01300","ANDERT ET CONDON"
9,"01010","01350","ANGLEFORT"
10,"01011","01100","APREMONT"
11,"01012","01110","ARANC"
12,"01013","01230","ARANDAS"
13,"01014","01100","ARBENT"
14,"01015","01300","ARBIGNIEU"
15,"01016","01190","ARBIGNY"
16,"01017","01230","ARGIS"
17,"01019","01510","ARMIX"
18,"01021","01480","ARS SUR FORMANS"
19,"01022","01510","ARTEMARE"
20,"01023","01570","ASNIERES SUR SAONE"
21,"01024","01340","ATTIGNAT"
22,"01025","01380","BAGE LA VILLE"
23,"01026","01380","BAGE LE CHATEL"
24,"01027","01360","BALAN"
25,"01028","01990","BANEINS"
26,"01029","01270","BEAUPONT"
27,"01030","01480","BEAUREGARD"
28,"01031","01100","BELLIGNAT"
29,"01032","01360","BELIGNEUX"
30,"01033","01200","BELLEGARDE SUR VALSERINE"
31,"01034","01300","BELLEY"
32,"01035","01130","BELLEYDOUX"
33,"01036","01260","BELMONT LUTHEZIEU"
34,"01037","01470","BENONCES"
35,"01038","01370","BENY"
36,"01039","01350","BEON"
37,"01040","01340","BEREZIAT"
38,"01041","01500","BETTANT"
39,"01042","01290","BEY"
40,"01043","01700","BEYNOST"
41,"01044","01200","BILLIAT"
42,"01045","01330","BIRIEUX"
43,"01046","01290","BIZIAT"
44,"01047","01150","BLYES"
45,"01049","01120","LA BOISSE"
46,"01050","01190","BOISSEY"
47,"01050","01380","BOISSEY"
48,"01051","01450","BOLOZON"
49,"01052","01330","BOULIGNEUX"
50,"01053","01000","BOURG EN BRESSE"
51,"01054","01800","BOURG ST CHRISTOPHE"
52,"01056","01640","BOYEUX ST JEROME"
53,"01057","01190","BOZ"
54,"01058","01300","BREGNIER CORDON"
55,"01059","01260","BRENAZ"
56,"01060","01110","BRENOD"
57,"01061","01300","BRENS"
58,"01062","01360","BRESSOLLES"
59,"01063","01460","BRION"
60,"01064","01470","BRIORD"
61,"01065","01310","BUELLAS"
62,"01066","01510","LA BURBANCHE"
63,"01067","01430","CEIGNES"
64,"01068","01450","CERDON"
65,"01069","01240","CERTINES"
66,"01071","01170","CESSY"
67,"01072","01250","CEYZERIAT"
68,"01073","01350","CEYZERIEU"
69,"01074","01320","CHALAMONT"
70,"01075","01480","CHALEINS"
71,"01076","01230","CHALEY"
72,"01077","01450","CHALLES LA MONTAGNE"
73,"01078","01630","CHALLEX"
74,"01079","01260","CHAMPAGNE EN VALROMEY"
75,"01080","01110","CHAMPDOR"
76,"01081","01410","CHAMPFROMIER"
77,"01082","01420","CHANAY"
78,"01083","01990","CHANEINS"
79,"01084","01400","CHANOZ CHATENAY"
80,"01085","01240","LA CHAPELLE DU CHATELARD"
81,"01087","01130","CHARIX"
82,"01088","01800","CHARNOZ SUR AIN"
83,"01089","01500","CHATEAU GAILLARD"
84,"01090","01320","CHATENAY"
85,"01091","01200","CHATILLON EN MICHAILLE"
86,"01092","01320","CHATILLON LA PALUD"
87,"01093","01400","CHATILLON SUR CHALARONNE"
88,"01094","01190","CHAVANNES SUR REYSSOUZE"
89,"01095","01250","CHAVANNES SUR SURAN"
90,"01096","01660","CHAVEYRIAT"
91,"01097","01510","CHAVORNAY"
92,"01098","01300","CHAZEY BONS"
93,"01099","01150","CHAZEY SUR AIN"
94,"01100","01510","CHEIGNIEU LA BALME"
95,"01101","01430","CHEVILLARD"
96,"01102","01190","CHEVROUX"
97,"01103","01170","CHEVRY"
98,"01104","01200","CHEZERY FORENS"
99,"01104","01410","CHEZERY FORENS"
100,"01105","01390","CIVRIEUX"
101,"01106","01250","CIZE"
102,"01107","01230","CLEYZIEU"
103,"01108","01270","COLIGNY"
104,"01109","01550","COLLONGES"
105,"01110","01300","COLOMIEU"
106,"01111","01230","CONAND"
107,"01112","01430","CONDAMINE"
108,"01113","01400","CONDEISSIAT"
109,"01114","01200","CONFORT"
110,"01115","01310","CONFRANCON"
111,"01116","01300","CONTREVOZ"
112,"01117","01300","CONZIEU"
113,"01118","01420","CORBONOD"
114,"01119","01110","CORCELLES"
115,"01121","01110","CORLIER"
