"id","tb_pts_contact_id","tb_type_qualificatif_id","permanence","num_tel_local","num_accueil","num_noir","email","website","horaire_accueil","horaire_tel_local"
1,1,3,1,"03 88 21 07 06",,,"adil.67@wanadoo.fr","www.adil67.org","Sur rendez-vous ou par téléphone : le lundi, mardi et jeudi de 8h30 à 12h30 et de 13h30 à 17h30 / le mercredi de 13h30 à 17h30 et le vendredi de 8h30 à 12h30 et de 13h30 à 16h30","Lundi, mardi et jeudi de 8h30 à 12h30 / 13h30 à 17h30 / Mercredi de 13h30 à 17h30 / Vendredi de 8h30 à 12h30 / 13h30 à 16h30"
2,2,3,1,"03 89 21 75 35",,,"contact@adil68.fr","www.adil68.org","Du lundi au jeudi de 8h30 à 12h et de 14h à 17h30, jusqu'à 17h le vendredi, fermé au public le jeudi matin","Du lundi au mercredi de 8h30 à 12h / 14h à 17h30 / Jeudi de 14h à 17h30 / Vendredi de 8h30 à 12h / 14h à 17h"
3,2,2,1,"03 89 21 75 35",,,"contact@adil68.fr","www.adil68.org","Du lundi au jeudi de 8h30 à 12h et de 14h à 17h30, jusqu'à 17h le vendredi, fermé au public le jeudi matin","Du lundi au jeudi de 8h30 à 12h et de 14h à 17h30, jusqu'à 17h le vendredi, fermé au public le jeudi matin"
4,3,1,0,"03 69 77 60 64",,,"info@alme-mulhouse.fr","http://www.alme-mulhouse.fr","Sur Rendez-vous","lundi et mercredi de 9h00 à 12h00 ; mardi et jeudi de 14h à 17h."
5,4,1,0,"03 88 23 33 90",,,"eie67@alteralsace.org / ","http://www.alteralsace.org","lundi au vendredi 9h-17h","lundi, mardi, mercredi, jeudi : 9h-12h30 , 13h30-17h00 / vendredi : 9h-12h30  / "
6,5,1,0,"03 89 50 06 20",,,"eie68@alteralsace.org","http://www.alteralsace.org","Les lundi, mardi de 8hà12h et 13hà17h sur rendez vous uniquement.Le jeudi de 8h à 12h et 13hà16h sur rendez vous uniquement.","Du lundi au vendredi de 9h à 17h"
7,6,1,0,"03 88 24 96 13",,,"chloe.letemplier@cca.asso.fr","http://www.cca.asso.fr","Lundi au jeudi : 8h30 -12h30 et 14h-17h vendredi : 8h30-12h30 et 14h-16h","Lundi au jeudi : 8h30 -12h30 et 14h-17h vendredi : 8h30-12h30 et 14h-16h"
8,7,1,0,"08 00 74 68 68",,,"espaceinfoenergie@agglo-colmar.fr","http://www.agglo-colmar.fr","Du lundi au Vendredi 9h-12h30 et 13h30-17h00","Lundi 9 H - 12 H / Vendredi 14 H - 17 H"
9,8,2,0,"03 69 20 75 52",,,"logement@cg67.fr",,"Du lundi au vendredi de 14h à 17h sur rendez-vous","Permanence téléphonique :Du lundi au vendredi de 9h à 12h et de 13h30 à 17h"
10,9,1,0,"03 88 97 39 69",,,"infoenergie@pays-bmp.fr","http://www.pays-bmp.fr/page-75-espace-info-energie.html","Du lundi au Vendredi 9h-12h30 et 13h30-17h00","Mercredi 14 H - 17 H Jeudi 14 H - 17 H Vendredi 9 H - 12 H"
11,10,1,0,"06 83 03 89 22",,,"eie@rhin-vignoble-grandballon.fr","http://www.rhin-vignoble-grandballon.fr","Du lundi au Vendredi 9h-12h30 et 13h30-17h00","Lundi 14 H - 17 H / Vendredi 9 H - 12 H / Vendredi 14 H - 17 H"
12,11,1,0,"03 68 47 90 40",,,"infoenergie@pays-thur-doller.fr","http://www.pays-thur-doller.fr","le lundi de 9h à 12h et de 13h à 18h, le mercredi, le jeudi et le vendredi de 13h à 18h","Du lundi au vendredi de 9h à 12h et de 14h à 18h"
13,12,1,0,"03 88 06 59 53",,,"info-energie@ville-haguenau.fr","http://www.ville-haguenau.fr","Du lundi au vendredi de 8H30 à 12H00 et de 13H30 à 17H30","Du lundi au vendredi de 8h30 à 12h – 14h à 17h "
14,13,1,0,"03 88 80 54 35",,,"info-energie@sauer-pechelbronn.fr","http://www.sauer-pechelbronn.fr","Du lundi au vendredi de 8H30 à 12H00 et de 13H30 à 17H30",
15,14,1,0,"03 89 72 47 93",,,"eie.rhin-ried@paysdebrisach.fr",,"du lundi au jeudi de 9h à 12h et de 14h à 17h15 - le vendredi de 8h30 à 12h et de 14h à 16h","Lundi 14 H - 17 H / Mardi 9 H - 12 H / Jeudi 9 H - 12 H"
16,15,1,0,"03 88 59 86 27",,,"infoenergie@ville-erstein.fr","http://www.ville-erstein.fr","mercredi et vendredi de 8hà12h et 13hà17h. Les lundi, mardi de 8hà12h et 13hà17h sur rendez vous uniquement.Le jeudi de 8hà12h et 13hà16h sur rendez vous uniquement.","Mercredi 9 H - 12 H / Vendredi 9 H - 12 H / Vendredi 14 H - 17 H"
17,16,1,0,"09 72 28 95 73",,,"info.energie@paysdesaverne.fr","http://www.paysdesaverne.fr","Du lundi au jeudi de 9h à 12h et de 14h à 18h","Du lundi au jeudi de 9h à 12h et de 14h à 18h"
19,18,2,0,"03 69 77 77 79",,,"habitermieux-louermieux@mulhouse-alsace.fr","www.mulhouse-alsace.fr","Du lundi au vendredi de 9h à 12h et de 14 à 17h","Du lundi au vendredi de 9h à 12h et de 14 à 17h"
20,19,3,1,"05 53 09 89 89",,,"Adil.24@wanadoo.fr","www.adil24.org","Lundi au Jeudi de 8h30 à 12h et 13h30 à 17h30 / Vendredi de 8h30 à 12h et 13h30 à 16h","Du lundi au jeudi de 8h30 à 12h / 13h30 à 17h30 / Vendredi de 8h30 à 12h / 13h30 à 16h"
21,19,2,1,"05 53 09 89 89",,,"Adil.24@wanadoo.fr","www.adil24.org","Lundi au Jeudi de 8h30 à 12h et 13h30 à 17h30 / Vendredi de 8h30 à 12h et 13h30 à 16h","Du lundi au jeudi de 8h30 à 12h / 13h30 à 17h30 / Vendredi de 8h30 à 12h / 13h30 à 16h"
22,20,3,1,"05 57 10 09 10",,,"adil33@wanadoo.fr","www.adil33.org","Lundi, Mardi, Mercredi, vendredi : 9h-12h et 14h-17h / Jeudi : 12h-17h","Lundi, mardi, mercredi, vendredi de 9h à 12h / 14h à 17h / Jeudi de 12h à 17h"
23,20,2,1,"05 57 10 09 10",,,"adil33@wanadoo.fr","www.adil33.org","Lundi, Mardi, Mercredi, vendredi : 9h-12h et 14h-17h / Jeudi : 12h-17h","Lundi, mardi, mercredi, vendredi de 9h à 12h / 14h à 17h / Jeudi de 12h à 17h"
24,21,3,1,"05 58 46 58 58",,,"contact@adil40.fr","www.adil40.fr","Lundi, mercredi, jeudi et vendredi 9h à 12h et 13h à 17h / Mardi 9h à 17h sans interruption","Lundi, mercredi, jeudi, vendredi de 9h à 12h / 13h à 17h / Mardi de 9h à 17h sans interruption"
25,21,2,1,"05 58 46 58 58",,,"contact@adil40.fr","www.adil40.fr","Lundi, mercredi, jeudi et vendredi 9h à 12h et 13h à 17h / Mardi 9h à 17h sans interruption","Lundi, mercredi, jeudi, vendredi de 9h à 12h / 13h à 17h / Mardi de 9h à 17h sans interruption"
26,22,3,1,"05 59 02 26 26",,,"adil_64@orange.fr","www.adil64.org","Réception sur RDV du lundi au vendredi de 8h30 à 12h30 et de 13h30 à 17h30 (sauf vendredi fermeture à 16h30)","Du lundi au jeudi de 8h30 à 12h30 / 13h30 à 17h30 / Vendredi de 8h30 à 12h30 / 13h30 à 16h30"
27,23,3,1,"05 59 59 11 00",,,"adil_64@orange.fr","www.adil64.org","Réception sur RDV du lundi au vendredi de 8h30 à 12h30 et de 13h30 à 17h30 (sauf vendredi fermeture à 16h30)","Du lundi au jeudi de 8h30 à 12h30 / 13h30 à 17h30 / Vendredi de 8h30 à 12h30 / 13h30 à 16h30"
28,24,3,1,"05 53 67 93 65",,,"adil-47@live.fr",,"Du lundi au vendredi de 9h à 12h / 13h à 17h / Samedi de 9h à 12h","Du lundi au vendredi de 9h à 12h / 13h à 17h / Samedi de 9h à 12h"
29,25,1,1,"05 53 48 46 74",,,"info.energie@caue47.com","http://www.caue47.com","Tous les jours et permanences délocalisées","du lundi au vendredi de 9h à 12 et de 14h à 17h"
30,26,1,1,"05 53 08 37 13",,,"m.cosset@cauedordogne.com","http://www.cauedordogne.com","Tous les jours et permanences délocalisées","du lundi au vendredi de 9h à 12 et de 14h à 17h"
31,27,1,1,"05 56 90 74 73",,,"eie.bordeaux@clcv.org","http://www.clcv.org","Tous les jours et permanences délocalisées","du lundi au jeudi 9h à 12h et de 14h à 17h "
32,28,1,1,"05 56 97 79 46",,,"eie.merignac@clcv.org","http://www.clcv.org","Tous les jours et permanences délocalisées","lundi, mardi, jeudi, vendredi de 9h à 12 et de 14h à 17h"
33,29,1,1,"05 56 30 06 31",,,"d.vignaud@clcv.org","http://www.clcv.org","Tous les jours et permanences délocalisées","lundi, mardi et jeudi 9h00 12h00 14h-17h et vendredi 9h00-12h30"
34,30,1,1,"05 53 71 05 34",,,"arpenergie@wanadoo.fr","www.cpie47.fr","Tous les jours et permanences délocalisées","du lundi au vendredi de 9h à 12 et de 14h à 17h"
35,31,1,1,"05 57 95 97 04",,,"asso@creaq.org","http://www.creaq.org","Tous les jours et permanences délocalisées","du lundi au vendredi de 9h à 12 et de 14h à 17h"
36,32,2,0,"05 53 69 32 37",,,"anah47@developpement-durable.gouv.fr",,"Du mardi au vendredi de 9h à 12h et de 14h à 17h","Du mardi au vendredi de 9h à 12h et de 14h à 17h"
37,33,2,0,"05 59 80 86 90",,,"ddtm-shlv@pyrenees-atlantiques.gouv.fr",,"Du lundi au vendredi de 14h à 16h30","Du lundi au vendredi de 9h à 12h et de 14h à 18h"
38,34,1,1,"05 56 77 33 23",,,"eie@mps-aquitaine.org","http://www.espaceenergie.info","Tous les jours et permanences délocalisées","du lundi au vendredi de 9h à 12 et de 14h à 17h"
39,35,1,1,"05 59 14 60 64",,,"infoenergie@pactbearn.com","http://www.infoenergie64.org","Tous les jours et permanences délocalisées","du lundi au vendredi de 9h à 12 et de 14h à 17h"
40,36,1,1,"05 53 06 81 20",,,"s.pere@pact-dordogne.fr","http://www.pact-dordogne.fr","Tous les jours et permanences délocalisées","du lundi au vendredi de 9h à 12 et de 14h à 17h"
41,37,1,1,"05 56 33 88 88",,,"adejean@pacthdgironde.com","http://www.pacthdgironde.com","Tous les jours et permanences délocalisées","du lundi au vendredi de 9h à 12 et de 14h à 17h"
42,38,1,1,"05 58 74 12 56",,,"infoenergie@pactdeslandes.org","http://www.pactdeslandes.org","Tous les jours et permanences délocalisées","du lundi au vendredi de 9h à 12 et de 14h à 17h"
43,39,1,1,"05 59 46 31 60",,,"eie@pacthd-pb.fr","http://www.infoenergie64.org","Tous les jours et permanences délocalisées","du lundi au vendredi de 9h à 12 et de 14h à 17h"
44,40,1,1,"05 53 55 36 00",,,"info@pnrpl.com","http://www.parc-naturel-perigord-limousin.fr/","Tous les jours et permanences délocalisées","du lundi au vendredi de 9h à 12 et de 14h à 17h"
