"EPCI","LIBEPCI","NATURE_EPCI"
"200000164","CC de Pange","CC"
"200000172","CC Faucigny-Glières","CC"
"200000321","CA des 2 Rives de la Seine","CA"
"200000354","CC de la Louge et du Touch","CC"
"200000388","CC du Sud Morvan","CC"
"200000420","CC de la Vôge vers les Rives de la Moselle","CC"
"200000438","CC du Pays de Pontchâteau St Gildas des Bois","CC"
"200000487","CC du Plateau de Lommoye (CCPL)","CC"
"200000537","CC de la Presqu'île de Rhuys","CC"
"200000545","CC des Portes de Romilly sur Seine","CC"
"200000594","CC Entre Loire et Allier","CC"
"200000610","CC le Minervois","CC"
"200000628","CC Rhône Lez Provence","CC"
"200000636","CC Cévenne et Montagne Ardéchoises","CC"
"200000735","CC de la Viadène","CC"
"200000743","CC du Nebbiu","CC"
"200000776","CA Argenteuil - Bezons","CA"
"200000800","CC Coeur de Sologne","CC"
"200000925","CC de la Plaine Dijonnaise","CC"
"200000933","CC Sauldre et Sologne","CC"
"200000974","CC Sources de la Loire","CC"
"200001006","CC du Pays d'Eguzon-Val de Creuse","CC"
"200001105","CC du Canton de Salies-du-Salat","CC"
"200001170","CC Aubrac-Lot-Causse","CC"
"200004802","CC du Pays de Fayence","CC"
"200005130","CC du Pays de Trie","CC"
"200005932","CC du Canton de La Ferté-Saint-Aubin","CC"
"200005957","CC de la Région de Rambervillers","CC"
"200006047","CC du Sud Dijonnais","CC"
"200006070","CC Villeneuvois, Diège et Lot","CC"
"200006385","CA de l'Aéroport du Bourget","CA"
"200006393","CC du Val de Vôge","CC"
"200006427","CC Sère - Garonne - Gimone","CC"
"200006435","CC des Terrasses et Plaines des Deux cantons","CC"
"200006682","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay","CA"
"200006716","CC du Nogentais","CC"
"200006765","CC des Terres d'Apcher","CC"
"200006781","CC Entre 2 Lacs","CC"
"200006872","CC Champagnole Porte du Haut Jura","CC"
"200006880","CC Moine et Sèvre","CC"
"200006930","CC du Haut Allier","CC"
"200006971","CC du Perche","CC"
"200007052","CC de la Marche Berrichonne","CC"
"200007128","CC Errobi","CC"
"200007177","CC Pays de Nérondes","CC"
"200007425","CC du Canton de Tournay","CC"
"200007433","CC du Canton de Saint-Laurent-de-Neste","CC"
"200009611","CC des Portes du Comminges","CC"
"200010650","CA du Grand Dole","CA"
"200010700","CC Caux Vallée de Seine","CC"
